,move_distances,yearly_moves,income_improvement,qol_improvement,cyclical_moves,time_to_next_move,attachment_level,mean_pInitiate,pConsumat,avg_satisfaction,num_uncertain,avg_move_distance,total_moves,satisfaction_levels,utility_changes,total_satisfaction,total_uncertainty,TimeStepsAwayFromHome,AvgDistanceAwayFromHome,FractionMovesHome,TotalDistanceTraveled,NumReturnsToHome,avg_utility_change,mean_attachment,sd_attachment,attachment_form_rate,attachment_decay_rate,initial_attachment,sd_pInitiate
0,[],53.52,3049.355617633203,7270.128016323963,0.0,0.0,0.0,0.1,0.2,7.778097763251459,0.0,17.646807003625433,267.6,[],[],0.0,0.0,357.71069800409634,0.0,0.8476000000000001,0.0,0.0,-4.257248209233717,0.0,0.1,0.01,0.01,0.2,0.05
1,[],139.92000000000002,1398.3013457983711,9299.100492527517,0.0,0.0,0.0,0.1,0.6,7.791231590314007,0.0,17.077245574738278,699.6,[],[],0.0,0.0,574.7995886763986,0.0,0.692,0.0,0.0,-3.141770667646429,0.0,0.1,0.01,0.01,0.2,0.05
2,[],106.35999999999999,-1060.43128273521,10274.965514752384,0.0,0.0,0.0,0.1,0.2,5.644813235262953,0.0,16.8415216131668,531.8,[],[],0.0,0.0,511.979855691132,0.0,0.6004,0.0,0.0,-4.347362113690422,0.0,0.1,0.01,0.01,0.2,0.2
3,[],159.24,-1020.8194114654085,7198.602213346325,0.0,0.0,0.0,0.1,0.6,7.210972535062256,0.0,17.94552585281136,796.2,[],[],0.0,0.0,588.7553603808954,0.0,0.6556,0.0,0.0,-5.0071785283346255,0.0,0.1,0.01,0.01,0.2,0.2
4,[],290.68,12970.923648744492,17609.42277275712,0.0,0.0,0.0,0.5,0.2,5.259934746912789,0.0,17.787826325516836,1453.4,[],[],0.0,0.0,709.9436006308408,0.0,0.44720000000000004,0.0,0.0,-4.246604823763573,0.0,0.1,0.01,0.01,0.2,0.05
5,[],194.28000000000003,-1439.616755392371,11057.493442053168,0.0,0.0,0.0,0.5,0.6,8.182152602137942,0.0,17.019151519571587,971.4,[],[],0.0,0.0,649.8912119794504,0.0,0.5107999999999999,0.0,0.0,-3.649007809144269,0.0,0.1,0.01,0.01,0.2,0.05
6,[],250.95999999999998,6541.129696632588,6259.282713907278,0.0,0.0,0.0,0.5,0.2,6.352443050914849,0.0,16.43921716333884,1254.8,[],[],0.0,0.0,637.9491557577297,0.0,0.5456000000000001,0.0,0.0,-3.96440352940956,0.0,0.1,0.01,0.01,0.2,0.2
7,[],359.24,-7983.606315343287,7762.387235633278,0.0,0.0,0.0,0.5,0.6,4.774994798687217,0.0,16.614070367051113,1796.2,[],[],0.0,0.0,732.5939223187523,0.0,0.3496,0.0,0.0,-4.280075549794254,0.0,0.1,0.01,0.01,0.2,0.2
8,[],179.28000000000003,-671.1206694578847,7601.121420074633,0.0,0.0,0.0,0.1,0.2,2.618173741535395,0.0,16.877343423279658,896.4,[],[],0.0,0.0,575.3197394949309,0.0,0.5372000000000001,0.0,0.0,-4.448089304589468,0.0,0.1,0.01,0.01,0.8,0.05
9,[],150.8,-348.58767948634403,7338.307786117717,0.0,0.0,0.0,0.1,0.6,3.4566807846198855,0.0,17.936963825396855,754.0,[],[],0.0,0.0,577.3004277393397,0.0,0.5980000000000001,0.0,0.0,-4.114697371533459,0.0,0.1,0.01,0.01,0.8,0.05
